mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_max_depth,param_min_samples_split,param_n_estimators,param_kernel,param_n_neighbors,param_weights,param_alpha,param_hidden_layer_sizes
0.0037158966064453126,0.004829455265916988,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,5,LogisticRegression,,,,,,,,
0.13540754318237305,0.02342548959831715,0.010547399520874023,0.0038279995727427026,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.8655312499461928,0.8650644075865715,0.8386128866583075,0.9194046514547297,0.9186944308366983,0.8814615252965,0.032201288957744933,4,LogisticRegression,,,,,,,,
0.001004791259765625,0.0006925418236418678,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,5,LogisticRegression,,,,,,,,
0.23526391983032227,0.009815539751486538,0.007425975799560547,0.0037745233398029836,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.8506242766646056,0.9292323938014367,0.8896088699591388,0.9517250969616059,0.9559695508429685,0.915432037645951,0.04004449483637591,3,LogisticRegression,,,,,,,,
0.0008955955505371094,0.00044813275869809866,0.0,0.0,1,l1,"{'C': 1, 'penalty': 'l1'}",,,,,,,,5,LogisticRegression,,,,,,,,
0.3021412372589111,0.05453733671609824,0.006180477142333984,0.006196603479489446,1,l2,"{'C': 1, 'penalty': 'l2'}",0.8891087289821465,0.9256601579386389,0.915803121273418,0.9606144606144605,0.9559679965313768,0.9294308930680082,0.026466749967527646,2,LogisticRegression,,,,,,,,
0.002235555648803711,0.0031265376245481423,0.0,0.0,10,l1,"{'C': 10, 'penalty': 'l1'}",,,,,,,,5,LogisticRegression,,,,,,,,
0.4285429954528809,0.08056917087491752,0.004826545715332031,0.0037710386302214818,10,l2,"{'C': 10, 'penalty': 'l2'}",0.9026386402357445,0.9335127209523345,0.9145678448217707,0.9693376068376068,0.959839502935072,0.9359792631565057,0.025527318455848484,1,LogisticRegression,,,,,,,,
0.05064239501953125,0.009154946406553588,0.004021501541137696,0.0018530078087940504,,,"{'max_depth': None, 'min_samples_split': 2}",0.8007574990748725,0.8465745672691042,0.8369860021582403,0.9040107115107116,0.8825946788388105,0.8541846917703477,0.03604978071227294,1,DecisionTreeClassifier,,2,,,,,,
0.052472925186157225,0.01060778061588377,0.003230905532836914,0.0004138437967215047,,,"{'max_depth': None, 'min_samples_split': 5}",0.8063325563325563,0.8038616913936982,0.8371432313374396,0.8809592234249769,0.8906016349259062,0.8437796674829154,0.036371387789197726,3,DecisionTreeClassifier,,5,,,,,,
0.04668140411376953,0.00511393905440584,0.003801774978637695,0.0015385326546766452,,,"{'max_depth': None, 'min_samples_split': 10}",0.779246116202638,0.7913747803072205,0.8377434227279427,0.899034299034299,0.8739044311333467,0.8362606098810893,0.04609811763675185,7,DecisionTreeClassifier,,10,,,,,,
0.03242058753967285,0.0015790771711450273,0.0027968883514404297,3.9947458038413156e-05,,,"{'max_depth': 5, 'min_samples_split': 2}",0.7113796301431486,0.7801013091178598,0.774105738667978,0.8320202576258379,0.7772339444825791,0.7749681760074807,0.03829012860413017,10,DecisionTreeClassifier,5,2,,,,,,
0.03393235206604004,0.0030127708239125555,0.003408336639404297,0.0002712399056774495,,,"{'max_depth': 5, 'min_samples_split': 5}",0.7015570331494988,0.7801013091178598,0.774105738667978,0.8320202576258379,0.7772339444825791,0.7730036566087508,0.04161025304138145,11,DecisionTreeClassifier,5,5,,,,,,
0.031759452819824216,0.0003334219650302822,0.0030001163482666015,9.956522004864406e-05,,,"{'max_depth': 5, 'min_samples_split': 10}",0.702051385288588,0.7769690445668509,0.774105738667978,0.8320202576258379,0.7772339444825791,0.7724760741263668,0.041353661281053264,12,DecisionTreeClassifier,5,10,,,,,,
0.04336729049682617,0.0008838264723700648,0.002847719192504883,6.697574673662714e-05,,,"{'max_depth': 10, 'min_samples_split': 2}",0.7777972535356502,0.8241686759091822,0.8099283241698103,0.8896487584645479,0.8788294368004513,0.8360744897759285,0.042236937398744984,9,DecisionTreeClassifier,10,2,,,,,,
0.044968175888061526,0.0012838141272657378,0.002858257293701172,5.4268300473033474e-05,,,"{'max_depth': 10, 'min_samples_split': 5}",0.7986693225586937,0.7955909739103051,0.8426066745977675,0.8898912269165434,0.8821593117367764,0.8417835019440172,0.039844244105984264,5,DecisionTreeClassifier,10,5,,,,,,
0.044388198852539064,0.0021204553269756946,0.002811241149902344,9.417411948271866e-05,,,"{'max_depth': 10, 'min_samples_split': 10}",0.7796801307125398,0.8040912814330535,0.8239262054889798,0.9034389002810056,0.8733998986581146,0.8369072833147386,0.04533985528587003,6,DecisionTreeClassifier,10,10,,,,,,
0.045032835006713866,0.0015864308589008387,0.00389246940612793,0.002206441019035407,,,"{'max_depth': 15, 'min_samples_split': 2}",0.8007574990748725,0.8465745672691042,0.8369860021582403,0.9040107115107116,0.8825946788388105,0.8541846917703477,0.03604978071227294,1,DecisionTreeClassifier,15,2,,,,,,
0.04987049102783203,0.007032967015627646,0.002981901168823242,0.0002916126870560962,,,"{'max_depth': 15, 'min_samples_split': 5}",0.8063325563325563,0.8038616913936982,0.8371432313374396,0.8809592234249769,0.8906016349259062,0.8437796674829154,0.036371387789197726,3,DecisionTreeClassifier,15,5,,,,,,
